  locus,   size,  type,      raw,      pM,     pKM,"	gene", product,,,,,,,,,,,,,,,,,,,,
PROKKA_01081,1014, sense,2,0.37,0.36,"	n/a","  ""putative periplasmic taurine-binding protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01081,1014, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01082,64, igtop,0,0,0,,,,,,,"	potA_3",0,0,0,,"	potA_3",,,,,"	potA_3",,,,,
PROKKA_01082,64, igbot,0,0,0,,,,,,,0,"	potA_3",0,0,,,"	potA_3",,,,"	potA_3",,,,,
PROKKA_01082,792, sense,1,0.18,0.23,"	potA_3"," ""polyamine transport protein PotA""",,,,,0,0,"	potA_3",0,,,,"	potA_3",,,"	potA_3",,,,,
PROKKA_01082,792, antis,3,0.55,0.69,,,,,,,0,0,0,"	potA_3",,,,,"	potA_3",,"	potA_3",,,,,
PROKKA_01083,11, igtop,0,0,0,,,,,,,"	cbcW_1",0,0,0,,"	cbcW_1",,,,,"	cbcW_1",,,,,
PROKKA_01083,11, igbot,0,0,0,,,,,,,0,"	cbcW_1",0,0,,,"	cbcW_1",,,,"	cbcW_1",,,,,
PROKKA_01083,819, sense,0,0,0,"	cbcW_1"," ""CbcW""",,,,,0,0,"	cbcW_1",0,,,,"	cbcW_1",,,"	cbcW_1",,,,,
PROKKA_01083,819, antis,2,0.37,0.45,,,,,,,0,0,0,"	cbcW_1",,,,,"	cbcW_1",,"	cbcW_1",,,,,
PROKKA_01084,106, igtop,0,0,0,,,,,,,"	tauD_3",0,0,0,,"	tauD_3",,,,,"	tauD_3",,,,,
PROKKA_01084,106, igbot,0,0,0,,,,,,,0,"	tauD_3",0,0,,,"	tauD_3",,,,"	tauD_3",,,,,
PROKKA_01084,834, sense,2,0.37,0.44,"	tauD_3"," ""taurine dioxygenase""",,,,,0,0,"	tauD_3",0,,,,"	tauD_3",,,"	tauD_3",,,,,
PROKKA_01084,834, antis,0,0,0,,,,,,,0,0,0,"	tauD_3",,,,,"	tauD_3",,"	tauD_3",,,,,
PROKKA_01085,162, igtop,5,0.92,5.65,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01085,162, igbot,4,0.73,4.52,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01085,2037, sense,52,9.52,4.68,"	n/a","  ""OPT family oligopeptide transporter""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01085,2037, antis,3,0.55,0.27,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01086,107, igtop,11,2.01,18.83,,,,,,,"	betT1_1",0,0,0,,"	betT1_1",,,,,"	betT1_1",,,,,
PROKKA_01086,107, igbot,2,0.37,3.42,,,,,,,0,"	betT1_1",0,0,,,"	betT1_1",,,,"	betT1_1",,,,,
PROKKA_01086,1962, sense,9,1.65,0.84,"	betT1_1"," ""choline transporter BetT""",,,,,0,0,"	betT1_1",0,,,,"	betT1_1",,,"	betT1_1",,,,,
PROKKA_01086,1962, antis,33,6.04,3.08,,,,,,,0,0,0,"	betT1_1",,,,,"	betT1_1",,"	betT1_1",,,,,
PROKKA_01087,189, igtop,0,0,0,,,,,,,"	fleR_1",0,0,0,,"	fleR_1",,,,,"	fleR_1",,,,,
PROKKA_01087,189, igbot,1,0.18,0.97,,,,,,,0,"	fleR_1",0,0,,,"	fleR_1",,,,"	fleR_1",,,,,
PROKKA_01087,975, sense,4,0.73,0.75,"	fleR_1"," ""two-component response regulator""",,,,,0,0,"	fleR_1",0,,,,"	fleR_1",,,"	fleR_1",,,,,
PROKKA_01087,975, antis,1,0.18,0.19,,,,,,,0,0,0,"	fleR_1",,,,,"	fleR_1",,"	fleR_1",,,,,
PROKKA_01088,174, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01088,174, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01088,780, sense,25,4.58,5.87,"	n/a","  ""lipoprotein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01088,780, antis,2,0.37,0.47,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01089,437, igtop,50,9.16,20.95,,,,,,,"	cioA",0,0,0,,"	cioA",,,,,"	cioA",,,,,
PROKKA_01089,437, igbot,8,1.47,3.35,,,,,,,0,"	cioA",0,0,,,"	cioA",,,,"	cioA",,,,,
PROKKA_01089,1467, sense,17,3.11,2.12,"	cioA"," ""cyanide insensitive terminal oxidase""",,,,,0,0,"	cioA",0,,,,"	cioA",,,"	cioA",,,,,
PROKKA_01089,1467, antis,5,0.92,0.62,,,,,,,0,0,0,"	cioA",,,,,"	cioA",,"	cioA",,,,,
PROKKA_01090,3, igtop,0,0,0,,,,,,,"	cioB",0,0,0,,"	cioB",,,,,"	cioB",,,,,
PROKKA_01090,3, igbot,0,0,0,,,,,,,0,"	cioB",0,0,,,"	cioB",,,,"	cioB",,,,,
PROKKA_01090,1008, sense,12,2.2,2.18,"	cioB"," ""cyanide insensitive terminal oxidase""",,,,,0,0,"	cioB",0,,,,"	cioB",,,"	cioB",,,,,
PROKKA_01090,1008, antis,3,0.55,0.55,,,,,,,0,0,0,"	cioB",,,,,"	cioB",,"	cioB",,,,,
PROKKA_01091,13, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01091,13, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01091,171, sense,0,0,0,"	n/a","  ""Cyanide insensitive terminal oxidase"," putative subunit III""",,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01091,171, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01092,280, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01092,280, igbot,1,0.18,0.65,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01092,789, sense,2,0.37,0.46,"	n/a","  ""putative transcriptional regulator""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01092,789, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01093,101, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01093,101, igbot,1,0.18,1.81,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01093,1182, sense,2,0.37,0.31,"	n/a","  ""putative major facilitator superfamily transporter""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01093,1182, antis,8,1.47,1.24,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01094,56, igtop,0,0,0,,,,,,,"	atoB_1",0,0,0,,"	atoB_1",,,,,"	atoB_1",,,,,
PROKKA_01094,56, igbot,0,0,0,,,,,,,0,"	atoB_1",0,0,,,"	atoB_1",,,,"	atoB_1",,,,,
PROKKA_01094,1176, sense,44,8.06,6.85,"	atoB_1"," ""acetyl-CoA acetyltransferase""",,,,,0,0,"	atoB_1",0,,,,"	atoB_1",,,"	atoB_1",,,,,
PROKKA_01094,1176, antis,1,0.18,0.16,,,,,,,0,0,0,"	atoB_1",,,,,"	atoB_1",,"	atoB_1",,,,,
PROKKA_01095,181, igtop,1,0.18,1.01,,,,,,,"	pchD_3",0,0,0,,"	pchD_3",,,,,"	pchD_3",,,,,
PROKKA_01095,181, igbot,2,0.37,2.02,,,,,,,0,"	pchD_3",0,0,,,"	pchD_3",,,,"	pchD_3",,,,,
PROKKA_01095,1683, sense,9,1.65,0.98,"	pchD_3"," ""pyochelin biosynthesis protein PchD""",,,,,0,0,"	pchD_3",0,,,,"	pchD_3",,,"	pchD_3",,,,,
PROKKA_01095,1683, antis,4,0.73,0.44,,,,,,,0,0,0,"	pchD_3",,,,,"	pchD_3",,"	pchD_3",,,,,
PROKKA_01096,211, igtop,0,0,0,,,,,,,"	gbt_1",0,0,0,,"	gbt_1",,,,,"	gbt_1",,,,,
PROKKA_01096,211, igbot,2,0.37,1.74,,,,,,,0,"	gbt_1",0,0,,,"	gbt_1",,,,"	gbt_1",,,,,
PROKKA_01096,1926, sense,9,1.65,0.86,"	gbt_1"," ""glycine betaine transmethylase""",,,,,0,0,"	gbt_1",0,,,,"	gbt_1",,,"	gbt_1",,,,,
PROKKA_01096,1926, antis,4,0.73,0.38,,,,,,,0,0,0,"	gbt_1",,,,,"	gbt_1",,"	gbt_1",,,,,
PROKKA_01097,60, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01097,60, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01097,1368, sense,6,1.1,0.8,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01097,1368, antis,1,0.18,0.13,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01098,332, igtop,4,0.73,2.21,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01098,332, igbot,2,0.37,1.1,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01098,2721, sense,7,1.28,0.47,"	n/a","  ""putative transcriptional regulator""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01098,2721, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01099,31, igtop,0,0,0,,,,,,,"	kdpB_1",0,0,0,,"	kdpB_1",,,,,"	kdpB_1",,,,,
PROKKA_01099,31, igbot,0,0,0,,,,,,,0,"	kdpB_1",0,0,,,"	kdpB_1",,,,"	kdpB_1",,,,,
PROKKA_01099,2379, sense,8,1.47,0.62,"	kdpB_1"," ""potassium-transporting ATPase"," B chain""",,,,0,0,"	kdpB_1",0,,,,"	kdpB_1",,,"	kdpB_1",,,,,
PROKKA_01099,2379, antis,0,0,0,,,,,,,0,0,0,"	kdpB_1",,,,,"	kdpB_1",,"	kdpB_1",,,,,
PROKKA_01100,503, igtop,8,1.47,2.91,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01100,503, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01100,1392, sense,31,5.68,4.08,"	n/a","  ""PhoH family protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01100,1392, antis,1,0.18,0.13,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01101,248, igtop,3,0.55,2.22,,,,,,,"	moaC",0,0,0,,"	moaC",,,,,"	moaC",,,,,
PROKKA_01101,248, igbot,0,0,0,,,,,,,0,"	moaC",0,0,,,"	moaC",,,,"	moaC",,,,,
PROKKA_01101,483, sense,40,7.33,15.17,"	moaC"," ""molybdenum cofactor biosynthesis protein MoaC""",,,,,0,0,"	moaC",0,,,,"	moaC",,,"	moaC",,,,,
PROKKA_01101,483, antis,0,0,0,,,,,,,0,0,0,"	moaC",,,,,"	moaC",,"	moaC",,,,,
PROKKA_01102,4, igtop,0,0,0,,,,,,,"	moaD",0,0,0,,"	moaD",,,,,"	moaD",,,,,
PROKKA_01102,4, igbot,0,0,0,,,,,,,0,"	moaD",0,0,,,"	moaD",,,,"	moaD",,,,,
PROKKA_01102,252, sense,4,0.73,2.91,"	moaD"," ""molybdopterin converting factor"," small subunit""",,,,0,0,"	moaD",0,,,,"	moaD",,,"	moaD",,,,,
PROKKA_01102,252, antis,1,0.18,0.73,,,,,,,0,0,0,"	moaD",,,,,"	moaD",,"	moaD",,,,,
PROKKA_01103,4, igtop,0,0,0,,,,,,,"	moaE",0,0,0,,"	moaE",,,,,"	moaE",,,,,
PROKKA_01103,4, igbot,0,0,0,,,,,,,0,"	moaE",0,0,,,"	moaE",,,,"	moaE",,,,,
PROKKA_01103,453, sense,21,3.85,8.49,"	moaE"," ""molybdopterin converting factor"," large subunit""",,,,0,0,"	moaE",0,,,,"	moaE",,,"	moaE",,,,,
PROKKA_01103,453, antis,0,0,0,,,,,,,0,0,0,"	moaE",,,,,"	moaE",,"	moaE",,,,,
PROKKA_01104,100, igtop,0,0,0,,,,,,,"	moaB1",0,0,0,,"	moaB1",,,,,"	moaB1",,,,,
PROKKA_01104,100, igbot,0,0,0,,,,,,,0,"	moaB1",0,0,,,"	moaB1",,,,"	moaB1",,,,,
PROKKA_01104,558, sense,8,1.47,2.63,"	moaB1"," ""molybdopterin biosynthetic protein B1""",,,,,0,0,"	moaB1",0,,,,"	moaB1",,,"	moaB1",,,,,
PROKKA_01104,558, antis,0,0,0,,,,,,,0,0,0,"	moaB1",,,,,"	moaB1",,"	moaB1",,,,,
PROKKA_01105,4, igtop,0,0,0,,,,,,,"	moeA2",0,0,0,,"	moeA2",,,,,"	moeA2",,,,,
PROKKA_01105,4, igbot,0,0,0,,,,,,,0,"	moeA2",0,0,,,"	moeA2",,,,"	moeA2",,,,,
PROKKA_01105,1224, sense,0,0,0,"	moeA2"," ""molybdenum cofactor biosynthesis protein A2""",,,,,0,0,"	moeA2",0,,,,"	moeA2",,,"	moeA2",,,,,
PROKKA_01105,1224, antis,0,0,0,,,,,,,0,0,0,"	moeA2",,,,,"	moeA2",,"	moeA2",,,,,
PROKKA_01106,114, igtop,5,0.92,8.03,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01106,114, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01106,996, sense,6,1.1,1.1,"	n/a","  ""putative protease""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01106,996, antis,2,0.37,0.37,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01107,11, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01107,11, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01107,891, sense,2,0.37,0.41,"	n/a","  ""putative peptidase""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01107,891, antis,1,0.18,0.21,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01108,7, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01108,7, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01108,516, sense,1,0.18,0.35,"	n/a","  ""Putative lipid carrier protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01108,516, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01109,251, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01109,251, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01109,1563, sense,4,0.73,0.47,"	n/a","  ""putative phosphatase or phosphodiesterase""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01109,1563, antis,4,0.73,0.47,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01110,36, igtop,0,0,0,,,,,,,"	eddB",0,0,0,,"	eddB",,,,,"	eddB",,,,,
PROKKA_01110,36, igbot,1,0.18,5.09,,,,,,,0,"	eddB",0,0,,,"	eddB",,,,"	eddB",,,,,
PROKKA_01110,2343, sense,2,0.37,0.16,"	eddB"," ""Extracelullar DNA degradation protein"," EddB""",,,,0,0,"	eddB",0,,,,"	eddB",,,"	eddB",,,,,
PROKKA_01110,2343, antis,4,0.73,0.31,,,,,,,0,0,0,"	eddB",,,,,"	eddB",,"	eddB",,,,,
PROKKA_01111,579, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01111,579, igbot,5,0.92,1.58,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01111,720, sense,36,6.59,9.16,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01111,720, antis,2,0.37,0.51,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01112,4, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01112,4, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01112,786, sense,149,27.29,34.72,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01112,786, antis,2,0.37,0.47,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01113,4, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01113,4, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01113,384, sense,48,8.79,22.89,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01113,384, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01114,8, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01114,8, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01114,528, sense,10,1.83,3.47,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01114,528, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01115,4, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01115,4, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01115,396, sense,20,3.66,9.25,"	n/a","  ""Rhs element Vgr protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01115,396, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01116,95, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01116,95, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01116,72, sense,10,1.83,25.44,"	n/a","  ""P10""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01116,72, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01117,408, igtop,2,0.37,0.9,,,,,,,"	prfC",0,0,0,,"	prfC",,,,,"	prfC",,,,,
PROKKA_01117,408, igbot,8,1.47,3.59,,,,,,,0,"	prfC",0,0,,,"	prfC",,,,"	prfC",,,,,
PROKKA_01117,1584, sense,740,135.53,85.56,"	prfC"," ""peptide chain release factor 3""",,,,,0,0,"	prfC",0,,,,"	prfC",,,"	prfC",,,,,
PROKKA_01117,1584, antis,7,1.28,0.81,,,,,,,0,0,0,"	prfC",,,,,"	prfC",,"	prfC",,,,,
PROKKA_01118,220, igtop,3,0.55,2.5,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01118,220, igbot,1,0.18,0.83,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01118,462, sense,39,7.14,15.46,"	n/a","  ""lysozyme inhibitor""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01118,462, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01119,95, igtop,0,0,0,,,,,,,"	fecA_1",0,0,0,,"	fecA_1",,,,,"	fecA_1",,,,,
PROKKA_01119,95, igbot,0,0,0,,,,,,,0,"	fecA_1",0,0,,,"	fecA_1",,,,"	fecA_1",,,,,
PROKKA_01119,2355, sense,20,3.66,1.56,"	fecA_1"," ""Fe(III) dicitrate transport protein FecA""",,,,,0,0,"	fecA_1",0,,,,"	fecA_1",,,"	fecA_1",,,,,
PROKKA_01119,2355, antis,15,2.75,1.17,,,,,,,0,0,0,"	fecA_1",,,,,"	fecA_1",,"	fecA_1",,,,,
PROKKA_01120,94, igtop,0,0,0,,,,,,,"	foxR_2",0,0,0,,"	foxR_2",,,,,"	foxR_2",,,,,
PROKKA_01120,94, igbot,4,0.73,7.79,,,,,,,0,"	foxR_2",0,0,,,"	foxR_2",,,,"	foxR_2",,,,,
PROKKA_01120,954, sense,3,0.55,0.58,"	foxR_2"," ""Anti-sigma factor FoxR""",,,,,0,0,"	foxR_2",0,,,,"	foxR_2",,,"	foxR_2",,,,,
PROKKA_01120,954, antis,3,0.55,0.58,,,,,,,0,0,0,"	foxR_2",,,,,"	foxR_2",,"	foxR_2",,,,,
PROKKA_01121,4, igtop,0,0,0,,,,,,,"	femI_1",0,0,0,,"	femI_1",,,,,"	femI_1",,,,,
PROKKA_01121,4, igbot,0,0,0,,,,,,,0,"	femI_1",0,0,,,"	femI_1",,,,"	femI_1",,,,,
PROKKA_01121,510, sense,10,1.83,3.59,"	femI_1"," ""ECF sigma factor"," FemI""",,,,0,0,"	femI_1",0,,,,"	femI_1",,,"	femI_1",,,,,
PROKKA_01121,510, antis,1,0.18,0.36,,,,,,,0,0,0,"	femI_1",,,,,"	femI_1",,"	femI_1",,,,,
PROKKA_01122,100, igtop,0,0,0,,,,,,,"	cdhR_1",0,0,0,,"	cdhR_1",,,,,"	cdhR_1",,,,,
PROKKA_01122,100, igbot,0,0,0,,,,,,,0,"	cdhR_1",0,0,,,"	cdhR_1",,,,"	cdhR_1",,,,,
PROKKA_01122,891, sense,33,6.04,6.78,"	cdhR_1"," ""CdhR"," transcriptional regulator""",,,,0,0,"	cdhR_1",0,,,,"	cdhR_1",,,"	cdhR_1",,,,,
PROKKA_01122,891, antis,0,0,0,,,,,,,0,0,0,"	cdhR_1",,,,,"	cdhR_1",,"	cdhR_1",,,,,
PROKKA_01123,116, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01123,116, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01123,903, sense,0,0,0,"	n/a","  ""drug/metabolite transporter permease""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01123,903, antis,10,1.83,2.03,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01124,17, igtop,0,0,0,,,,,,,"	serA_2",0,0,0,,"	serA_2",,,,,"	serA_2",,,,,
PROKKA_01124,17, igbot,0,0,0,,,,,,,0,"	serA_2",0,0,,,"	serA_2",,,,"	serA_2",,,,,
PROKKA_01124,978, sense,38,6.96,7.12,"	serA_2"," ""D-3-phosphoglycerate dehydrogenase""",,,,,0,0,"	serA_2",0,,,,"	serA_2",,,"	serA_2",,,,,
PROKKA_01124,978, antis,0,0,0,,,,,,,0,0,0,"	serA_2",,,,,"	serA_2",,"	serA_2",,,,,
PROKKA_01125,94, igtop,2,0.37,3.9,,,,,,,"	bexR_4",0,0,0,,"	bexR_4",,,,,"	bexR_4",,,,,
PROKKA_01125,94, igbot,0,0,0,,,,,,,0,"	bexR_4",0,0,,,"	bexR_4",,,,"	bexR_4",,,,,
PROKKA_01125,954, sense,102,18.68,19.58,"	bexR_4"," ""bistable expression regulator"," BexR""",,,,0,0,"	bexR_4",0,,,,"	bexR_4",,,"	bexR_4",,,,,
PROKKA_01125,954, antis,10,1.83,1.92,,,,,,,0,0,0,"	bexR_4",,,,,"	bexR_4",,"	bexR_4",,,,,
PROKKA_01126,215, igtop,10,1.83,8.52,,,,,,,"	opmB_1",0,0,0,,"	opmB_1",,,,,"	opmB_1",,,,,
PROKKA_01126,215, igbot,0,0,0,,,,,,,0,"	opmB_1",0,0,,,"	opmB_1",,,,"	opmB_1",,,,,
PROKKA_01126,1521, sense,20,3.66,2.41,"	opmB_1"," ""OpmB""",,,,,0,0,"	opmB_1",0,,,,"	opmB_1",,,"	opmB_1",,,,,
PROKKA_01126,1521, antis,1,0.18,0.12,,,,,,,0,0,0,"	opmB_1",,,,,"	opmB_1",,"	opmB_1",,,,,
PROKKA_01127,4, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01127,4, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01127,2196, sense,15,2.75,1.25,"	n/a","  ""putative outer membrane protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01127,2196, antis,11,2.01,0.92,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01128,11, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01128,11, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01128,201, sense,2,0.37,1.82,"	n/a","  ""Na+-dependent transporter""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01128,201, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01129,36, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_01129,36, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_01129,909, sense,28,5.13,5.64,"	n/a","  ""multidrug resistance protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_01129,909, antis,2,0.37,0.4,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_01130,127, igtop,1,0.18,1.44,,,,,,,"	agtA_3",0,0,0,,"	agtA_3",,,,,"	agtA_3",,,,,
PROKKA_01130,127, igbot,0,0,0,,,,,,,0,"	agtA_3",0,0,,,"	agtA_3",,,,"	agtA_3",,,,,
PROKKA_01130,1164, sense,10,1.83,1.57,"	agtA_3"," ""AgtA""",,,,,0,0,"	agtA_3",0,,,,"	agtA_3",,,"	agtA_3",,,,,
PROKKA_01130,1164, antis,16,2.93,2.52,,,,,,,0,0,0,"	agtA_3",,,,,"	agtA_3",,"	agtA_3",,,,,
