locus,"	gene", product,locusNumber
PROKKA_00564_sense,"	ubiE_1"," ""ubiquinone biosynthesis methyltransferase UbiE""",PROKKA_00564
PROKKA_00564_antis,"	ubiE_1"," ""ubiquinone biosynthesis methyltransferase UbiE""",PROKKA_00564
PROKKA_00565_igtop,"	tktA"," ""transketolase""",PROKKA_00565
PROKKA_00565_igbot,"	tktA"," ""transketolase""",PROKKA_00565
PROKKA_00565_sense,"	tktA"," ""transketolase""",PROKKA_00565
PROKKA_00565_antis,"	tktA"," ""transketolase""",PROKKA_00565
PROKKA_00566_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00566
PROKKA_00566_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00566
PROKKA_00566_sense,"	n/a","  ""hypothetical protein""",PROKKA_00566
PROKKA_00566_antis,"	n/a","  ""hypothetical protein""",PROKKA_00566
PROKKA_00567_igtop,"	n/a","  ""putative hydroxypyruvate isomerase""",PROKKA_00567
PROKKA_00567_igbot,"	n/a","  ""putative hydroxypyruvate isomerase""",PROKKA_00567
PROKKA_00567_sense,"	n/a","  ""putative hydroxypyruvate isomerase""",PROKKA_00567
PROKKA_00567_antis,"	n/a","  ""putative hydroxypyruvate isomerase""",PROKKA_00567
PROKKA_00568_igtop,"	epd","  ""D-erythrose 4-phosphate dehydrogenase""",PROKKA_00568
PROKKA_00568_igbot,"	epd","  ""D-erythrose 4-phosphate dehydrogenase""",PROKKA_00568
PROKKA_00568_sense,"	epd","  ""D-erythrose 4-phosphate dehydrogenase""",PROKKA_00568
PROKKA_00568_antis,"	epd","  ""D-erythrose 4-phosphate dehydrogenase""",PROKKA_00568
PROKKA_00569_igtop,"	pgk","  ""phosphoglycerate kinase""",PROKKA_00569
PROKKA_00569_igbot,"	pgk","  ""phosphoglycerate kinase""",PROKKA_00569
PROKKA_00569_sense,"	pgk","  ""phosphoglycerate kinase""",PROKKA_00569
PROKKA_00569_antis,"	pgk","  ""phosphoglycerate kinase""",PROKKA_00569
PROKKA_00570_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00570
PROKKA_00570_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00570
PROKKA_00570_sense,"	n/a","  ""hypothetical protein""",PROKKA_00570
PROKKA_00570_antis,"	n/a","  ""hypothetical protein""",PROKKA_00570
PROKKA_00571_igtop,"	n/a","  ""lipoprotein""",PROKKA_00571
PROKKA_00571_igbot,"	n/a","  ""lipoprotein""",PROKKA_00571
PROKKA_00571_sense,"	n/a","  ""lipoprotein""",PROKKA_00571
PROKKA_00571_antis,"	n/a","  ""lipoprotein""",PROKKA_00571
PROKKA_00572_igtop,"	fda","  ""fructose-1-6-bisphosphate aldolase""",PROKKA_00572
PROKKA_00572_igbot,"	fda","  ""fructose-1-6-bisphosphate aldolase""",PROKKA_00572
PROKKA_00572_sense,"	fda","  ""fructose-1-6-bisphosphate aldolase""",PROKKA_00572
PROKKA_00572_antis,"	fda","  ""fructose-1-6-bisphosphate aldolase""",PROKKA_00572
PROKKA_00573_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00573
PROKKA_00573_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00573
PROKKA_00573_sense,"	n/a","  ""hypothetical protein""",PROKKA_00573
PROKKA_00573_antis,"	n/a","  ""hypothetical protein""",PROKKA_00573
PROKKA_00574_igtop,"	n/a","  ""putative isomerase""",PROKKA_00574
PROKKA_00574_igbot,"	n/a","  ""putative isomerase""",PROKKA_00574
PROKKA_00574_sense,"	n/a","  ""putative isomerase""",PROKKA_00574
PROKKA_00574_antis,"	n/a","  ""putative isomerase""",PROKKA_00574
PROKKA_00575_igtop,"	n/a","  ""methyltransferase domain-containing protein""",PROKKA_00575
PROKKA_00575_igbot,"	n/a","  ""methyltransferase domain-containing protein""",PROKKA_00575
PROKKA_00575_sense,"	n/a","  ""methyltransferase domain-containing protein""",PROKKA_00575
PROKKA_00575_antis,"	n/a","  ""methyltransferase domain-containing protein""",PROKKA_00575
PROKKA_00576_igtop,"	n/a","  ""fumarate reductase succinate dehydrogenase flavo protein""",PROKKA_00576
PROKKA_00576_igbot,"	n/a","  ""fumarate reductase succinate dehydrogenase flavo protein""",PROKKA_00576
PROKKA_00576_sense,"	n/a","  ""fumarate reductase succinate dehydrogenase flavo protein""",PROKKA_00576
PROKKA_00576_antis,"	n/a","  ""fumarate reductase succinate dehydrogenase flavo protein""",PROKKA_00576
PROKKA_00577_igtop,"	n/a","  ""putative metal-dependent hydrolase""",PROKKA_00577
PROKKA_00577_igbot,"	n/a","  ""putative metal-dependent hydrolase""",PROKKA_00577
PROKKA_00577_sense,"	n/a","  ""putative metal-dependent hydrolase""",PROKKA_00577
PROKKA_00577_antis,"	n/a","  ""putative metal-dependent hydrolase""",PROKKA_00577
PROKKA_00578_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00578
PROKKA_00578_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00578
PROKKA_00578_sense,"	n/a","  ""hypothetical protein""",PROKKA_00578
PROKKA_00578_antis,"	n/a","  ""hypothetical protein""",PROKKA_00578
PROKKA_00579_igtop,"	n/a","  ""putative hydrolase""",PROKKA_00579
PROKKA_00579_igbot,"	n/a","  ""putative hydrolase""",PROKKA_00579
PROKKA_00579_sense,"	n/a","  ""putative hydrolase""",PROKKA_00579
PROKKA_00579_antis,"	n/a","  ""putative hydrolase""",PROKKA_00579
PROKKA_00580_igtop,"	yhaI"," ""Inner membrane protein YhaI""",PROKKA_00580
PROKKA_00580_igbot,"	yhaI"," ""Inner membrane protein YhaI""",PROKKA_00580
PROKKA_00580_sense,"	yhaI"," ""Inner membrane protein YhaI""",PROKKA_00580
PROKKA_00580_antis,"	yhaI"," ""Inner membrane protein YhaI""",PROKKA_00580
PROKKA_00581_igtop,"	exsA_1"," ""transcriptional regulator ExsA""",PROKKA_00581
PROKKA_00581_igbot,"	exsA_1"," ""transcriptional regulator ExsA""",PROKKA_00581
PROKKA_00581_sense,"	exsA_1"," ""transcriptional regulator ExsA""",PROKKA_00581
PROKKA_00581_antis,"	exsA_1"," ""transcriptional regulator ExsA""",PROKKA_00581
PROKKA_00582_igtop,"	n/a","  ""carboxymuconolactone decarboxylase""",PROKKA_00582
PROKKA_00582_igbot,"	n/a","  ""carboxymuconolactone decarboxylase""",PROKKA_00582
PROKKA_00582_sense,"	n/a","  ""carboxymuconolactone decarboxylase""",PROKKA_00582
PROKKA_00582_antis,"	n/a","  ""carboxymuconolactone decarboxylase""",PROKKA_00582
PROKKA_00583_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00583
PROKKA_00583_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00583
PROKKA_00583_sense,"	n/a","  ""hypothetical protein""",PROKKA_00583
PROKKA_00583_antis,"	n/a","  ""hypothetical protein""",PROKKA_00583
PROKKA_00584_igtop,"	n/a","  ""Stress induced hydrophobic peptide""",PROKKA_00584
PROKKA_00584_igbot,"	n/a","  ""Stress induced hydrophobic peptide""",PROKKA_00584
PROKKA_00584_sense,"	n/a","  ""Stress induced hydrophobic peptide""",PROKKA_00584
PROKKA_00584_antis,"	n/a","  ""Stress induced hydrophobic peptide""",PROKKA_00584
PROKKA_00585_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00585
PROKKA_00585_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00585
PROKKA_00585_sense,"	n/a","  ""hypothetical protein""",PROKKA_00585
PROKKA_00585_antis,"	n/a","  ""hypothetical protein""",PROKKA_00585
PROKKA_00586_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00586
PROKKA_00586_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00586
PROKKA_00586_sense,"	n/a","  ""hypothetical protein""",PROKKA_00586
PROKKA_00586_antis,"	n/a","  ""hypothetical protein""",PROKKA_00586
PROKKA_00587_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00587
PROKKA_00587_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00587
PROKKA_00587_sense,"	n/a","  ""hypothetical protein""",PROKKA_00587
PROKKA_00587_antis,"	n/a","  ""hypothetical protein""",PROKKA_00587
PROKKA_00588_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00588
PROKKA_00588_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00588
PROKKA_00588_sense,"	n/a","  ""hypothetical protein""",PROKKA_00588
PROKKA_00588_antis,"	n/a","  ""hypothetical protein""",PROKKA_00588
PROKKA_00589_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00589
PROKKA_00589_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00589
PROKKA_00589_sense,"	n/a","  ""hypothetical protein""",PROKKA_00589
PROKKA_00589_antis,"	n/a","  ""hypothetical protein""",PROKKA_00589
PROKKA_00590_igtop,"	n/a","  ""NERD domain-containing protein""",PROKKA_00590
PROKKA_00590_igbot,"	n/a","  ""NERD domain-containing protein""",PROKKA_00590
PROKKA_00590_sense,"	n/a","  ""NERD domain-containing protein""",PROKKA_00590
PROKKA_00590_antis,"	n/a","  ""NERD domain-containing protein""",PROKKA_00590
PROKKA_00591_igtop,"	n/a","  ""filamentation induced by cAMP protein fic""",PROKKA_00591
PROKKA_00591_igbot,"	n/a","  ""filamentation induced by cAMP protein fic""",PROKKA_00591
PROKKA_00591_sense,"	n/a","  ""filamentation induced by cAMP protein fic""",PROKKA_00591
PROKKA_00591_antis,"	n/a","  ""filamentation induced by cAMP protein fic""",PROKKA_00591
PROKKA_00592_igtop,"	n/a","  ""tRNA-Met""",PROKKA_00592
PROKKA_00592_igbot,"	n/a","  ""tRNA-Met""",PROKKA_00592
PROKKA_00592_sense,"	n/a","  ""tRNA-Met""",PROKKA_00592
PROKKA_00592_antis,"	n/a","  ""tRNA-Met""",PROKKA_00592
PROKKA_00593_igtop,"	morA_2"," ""motility regulator""",PROKKA_00593
PROKKA_00593_igbot,"	morA_2"," ""motility regulator""",PROKKA_00593
PROKKA_00593_sense,"	morA_2"," ""motility regulator""",PROKKA_00593
PROKKA_00593_antis,"	morA_2"," ""motility regulator""",PROKKA_00593
PROKKA_00594_igtop,"	rpoD"," ""sigma factor RpoD""",PROKKA_00594
PROKKA_00594_igbot,"	rpoD"," ""sigma factor RpoD""",PROKKA_00594
PROKKA_00594_sense,"	rpoD"," ""sigma factor RpoD""",PROKKA_00594
PROKKA_00594_antis,"	rpoD"," ""sigma factor RpoD""",PROKKA_00594
PROKKA_00595_igtop,"	dnaG"," ""DNA primase""",PROKKA_00595
PROKKA_00595_igbot,"	dnaG"," ""DNA primase""",PROKKA_00595
PROKKA_00595_sense,"	dnaG"," ""DNA primase""",PROKKA_00595
PROKKA_00595_antis,"	dnaG"," ""DNA primase""",PROKKA_00595
PROKKA_00596_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00596
PROKKA_00596_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00596
PROKKA_00596_sense,"	n/a","  ""hypothetical protein""",PROKKA_00596
PROKKA_00596_antis,"	n/a","  ""hypothetical protein""",PROKKA_00596
PROKKA_00597_igtop,"	rpsU"," ""30S ribosomal protein S21""",PROKKA_00597
PROKKA_00597_igbot,"	rpsU"," ""30S ribosomal protein S21""",PROKKA_00597
PROKKA_00597_sense,"	rpsU"," ""30S ribosomal protein S21""",PROKKA_00597
PROKKA_00597_antis,"	rpsU"," ""30S ribosomal protein S21""",PROKKA_00597
PROKKA_00598_igtop,"	gcp_1"," ""O-sialoglycoprotein endopeptidase""",PROKKA_00598
PROKKA_00598_igbot,"	gcp_1"," ""O-sialoglycoprotein endopeptidase""",PROKKA_00598
PROKKA_00598_sense,"	gcp_1"," ""O-sialoglycoprotein endopeptidase""",PROKKA_00598
PROKKA_00598_antis,"	gcp_1"," ""O-sialoglycoprotein endopeptidase""",PROKKA_00598
PROKKA_00599_igtop,"	n/a","  ""putative glycerol-3-phosphate acyltransferase PlsY""",PROKKA_00599
PROKKA_00599_igbot,"	n/a","  ""putative glycerol-3-phosphate acyltransferase PlsY""",PROKKA_00599
PROKKA_00599_sense,"	n/a","  ""putative glycerol-3-phosphate acyltransferase PlsY""",PROKKA_00599
PROKKA_00599_antis,"	n/a","  ""putative glycerol-3-phosphate acyltransferase PlsY""",PROKKA_00599
PROKKA_00600_igtop,"	folB"," ""dihydroneopterin aldolase""",PROKKA_00600
PROKKA_00600_igbot,"	folB"," ""dihydroneopterin aldolase""",PROKKA_00600
PROKKA_00600_sense,"	folB"," ""dihydroneopterin aldolase""",PROKKA_00600
PROKKA_00600_antis,"	folB"," ""dihydroneopterin aldolase""",PROKKA_00600
PROKKA_00601_igtop,"	folK_1"," ""2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase""",PROKKA_00601
PROKKA_00601_igbot,"	folK_1"," ""2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase""",PROKKA_00601
PROKKA_00601_sense,"	folK_1"," ""2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase""",PROKKA_00601
PROKKA_00601_antis,"	folK_1"," ""2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase""",PROKKA_00601
PROKKA_00602_igtop,"	cca","  ""tRNA nucleotidyl transferase""",PROKKA_00602
PROKKA_00602_igbot,"	cca","  ""tRNA nucleotidyl transferase""",PROKKA_00602
PROKKA_00602_sense,"	cca","  ""tRNA nucleotidyl transferase""",PROKKA_00602
PROKKA_00602_antis,"	cca","  ""tRNA nucleotidyl transferase""",PROKKA_00602
PROKKA_00603_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00603
PROKKA_00603_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00603
PROKKA_00603_sense,"	n/a","  ""hypothetical protein""",PROKKA_00603
PROKKA_00603_antis,"	n/a","  ""hypothetical protein""",PROKKA_00603
PROKKA_00604_igtop,"	n/a","  ""SpoVR family protein""",PROKKA_00604
PROKKA_00604_igbot,"	n/a","  ""SpoVR family protein""",PROKKA_00604
PROKKA_00604_sense,"	n/a","  ""SpoVR family protein""",PROKKA_00604
PROKKA_00604_antis,"	n/a","  ""SpoVR family protein""",PROKKA_00604
PROKKA_00605_igtop,"	yhbH"," ""hypothetical protein""",PROKKA_00605
PROKKA_00605_igbot,"	yhbH"," ""hypothetical protein""",PROKKA_00605
PROKKA_00605_sense,"	yhbH"," ""hypothetical protein""",PROKKA_00605
PROKKA_00605_antis,"	yhbH"," ""hypothetical protein""",PROKKA_00605
PROKKA_00606_igtop,"	n/a","  ""putative protein kinase""",PROKKA_00606
PROKKA_00606_igbot,"	n/a","  ""putative protein kinase""",PROKKA_00606
PROKKA_00606_sense,"	n/a","  ""putative protein kinase""",PROKKA_00606
PROKKA_00606_antis,"	n/a","  ""putative protein kinase""",PROKKA_00606
PROKKA_00607_igtop,"	glpE"," ""thiosulfate sulfurtransferase""",PROKKA_00607
PROKKA_00607_igbot,"	glpE"," ""thiosulfate sulfurtransferase""",PROKKA_00607
PROKKA_00607_sense,"	glpE"," ""thiosulfate sulfurtransferase""",PROKKA_00607
PROKKA_00607_antis,"	glpE"," ""thiosulfate sulfurtransferase""",PROKKA_00607
PROKKA_00608_igtop,"	apaH"," ""bis(5'-nucleosyl)-tetraphosphatase""",PROKKA_00608
PROKKA_00608_igbot,"	apaH"," ""bis(5'-nucleosyl)-tetraphosphatase""",PROKKA_00608
PROKKA_00608_sense,"	apaH"," ""bis(5'-nucleosyl)-tetraphosphatase""",PROKKA_00608
PROKKA_00608_antis,"	apaH"," ""bis(5'-nucleosyl)-tetraphosphatase""",PROKKA_00608
PROKKA_00609_igtop,"	apaG"," ""ApaG protein""",PROKKA_00609
PROKKA_00609_igbot,"	apaG"," ""ApaG protein""",PROKKA_00609
PROKKA_00609_sense,"	apaG"," ""ApaG protein""",PROKKA_00609
PROKKA_00609_antis,"	apaG"," ""ApaG protein""",PROKKA_00609
PROKKA_00610_igtop,"	ksgA"," ""rRNA (adenine-N6-N6)-dimethyltransferase""",PROKKA_00610
PROKKA_00610_igbot,"	ksgA"," ""rRNA (adenine-N6-N6)-dimethyltransferase""",PROKKA_00610
PROKKA_00610_sense,"	ksgA"," ""rRNA (adenine-N6-N6)-dimethyltransferase""",PROKKA_00610
PROKKA_00610_antis,"	ksgA"," ""rRNA (adenine-N6-N6)-dimethyltransferase""",PROKKA_00610
PROKKA_00611_igtop,"	pdxA_1"," ""pyridoxal phosphate biosynthetic protein PdxA""",PROKKA_00611
PROKKA_00611_igbot,"	pdxA_1"," ""pyridoxal phosphate biosynthetic protein PdxA""",PROKKA_00611
PROKKA_00611_sense,"	pdxA_1"," ""pyridoxal phosphate biosynthetic protein PdxA""",PROKKA_00611
PROKKA_00611_antis,"	pdxA_1"," ""pyridoxal phosphate biosynthetic protein PdxA""",PROKKA_00611
PROKKA_00612_igtop,"	surA_1"," ""peptidyl-prolyl cis-trans isomerase SurA""",PROKKA_00612
PROKKA_00612_igbot,"	surA_1"," ""peptidyl-prolyl cis-trans isomerase SurA""",PROKKA_00612
PROKKA_00612_sense,"	surA_1"," ""peptidyl-prolyl cis-trans isomerase SurA""",PROKKA_00612
PROKKA_00612_antis,"	surA_1"," ""peptidyl-prolyl cis-trans isomerase SurA""",PROKKA_00612
PROKKA_00613_igtop,"	ostA"," ""organic solvent tolerance protein OstA precursor""",PROKKA_00613
PROKKA_00613_igbot,"	ostA"," ""organic solvent tolerance protein OstA precursor""",PROKKA_00613
PROKKA_00613_sense,"	ostA"," ""organic solvent tolerance protein OstA precursor""",PROKKA_00613
PROKKA_00613_antis,"	ostA"," ""organic solvent tolerance protein OstA precursor""",PROKKA_00613
PROKKA_00614_igtop,"	n/a","  ""putative phosphotransferase""",PROKKA_00614
PROKKA_00614_igbot,"	n/a","  ""putative phosphotransferase""",PROKKA_00614
PROKKA_00614_sense,"	n/a","  ""putative phosphotransferase""",PROKKA_00614
PROKKA_00614_antis,"	n/a","  ""putative phosphotransferase""",PROKKA_00614
PROKKA_00615_igtop,"	rmlA_1"," ""glucose-1-phosphate thymidylyltransferase""",PROKKA_00615
PROKKA_00615_igbot,"	rmlA_1"," ""glucose-1-phosphate thymidylyltransferase""",PROKKA_00615
PROKKA_00615_sense,"	rmlA_1"," ""glucose-1-phosphate thymidylyltransferase""",PROKKA_00615
PROKKA_00615_antis,"	rmlA_1"," ""glucose-1-phosphate thymidylyltransferase""",PROKKA_00615
PROKKA_00616_igtop,"	n/a","  ""molecuar chaperone DnaJ""",PROKKA_00616
PROKKA_00616_igbot,"	n/a","  ""molecuar chaperone DnaJ""",PROKKA_00616
PROKKA_00616_sense,"	n/a","  ""molecuar chaperone DnaJ""",PROKKA_00616
PROKKA_00616_antis,"	n/a","  ""molecuar chaperone DnaJ""",PROKKA_00616
PROKKA_00617_igtop,"	n/a","  ""hydrolase or acyltransferase""",PROKKA_00617
PROKKA_00617_igbot,"	n/a","  ""hydrolase or acyltransferase""",PROKKA_00617
PROKKA_00617_sense,"	n/a","  ""hydrolase or acyltransferase""",PROKKA_00617
PROKKA_00617_antis,"	n/a","  ""hydrolase or acyltransferase""",PROKKA_00617
PROKKA_00618_igtop,"	agtS"," ""two-component sensor AgtS""",PROKKA_00618
PROKKA_00618_igbot,"	agtS"," ""two-component sensor AgtS""",PROKKA_00618
PROKKA_00618_sense,"	agtS"," ""two-component sensor AgtS""",PROKKA_00618
PROKKA_00618_antis,"	agtS"," ""two-component sensor AgtS""",PROKKA_00618
PROKKA_00619_igtop,"	agtR_1"," ""two-component response regulator AgtR""",PROKKA_00619
PROKKA_00619_igbot,"	agtR_1"," ""two-component response regulator AgtR""",PROKKA_00619
PROKKA_00619_sense,"	agtR_1"," ""two-component response regulator AgtR""",PROKKA_00619
PROKKA_00619_antis,"	agtR_1"," ""two-component response regulator AgtR""",PROKKA_00619
PROKKA_00620_igtop,"	agtB_2"," ""AgtB""",PROKKA_00620
PROKKA_00620_igbot,"	agtB_2"," ""AgtB""",PROKKA_00620
PROKKA_00620_sense,"	agtB_2"," ""AgtB""",PROKKA_00620
PROKKA_00620_antis,"	agtB_2"," ""AgtB""",PROKKA_00620
PROKKA_00621_igtop,"	agtA_2"," ""AgtA""",PROKKA_00621
PROKKA_00621_igbot,"	agtA_2"," ""AgtA""",PROKKA_00621
PROKKA_00621_sense,"	agtA_2"," ""AgtA""",PROKKA_00621
PROKKA_00621_antis,"	agtA_2"," ""AgtA""",PROKKA_00621
PROKKA_00622_igtop,"	agtB_3"," ""AgtB""",PROKKA_00622
PROKKA_00622_igbot,"	agtB_3"," ""AgtB""",PROKKA_00622
PROKKA_00622_sense,"	agtB_3"," ""AgtB""",PROKKA_00622
PROKKA_00622_antis,"	agtB_3"," ""AgtB""",PROKKA_00622
PROKKA_00623_igtop,"	agtC"," ""AgtC""",PROKKA_00623
PROKKA_00623_igbot,"	agtC"," ""AgtC""",PROKKA_00623
PROKKA_00623_sense,"	agtC"," ""AgtC""",PROKKA_00623
PROKKA_00623_antis,"	agtC"," ""AgtC""",PROKKA_00623
PROKKA_00624_igtop,"	agtD_1"," ""AgtD""",PROKKA_00624
PROKKA_00624_igbot,"	agtD_1"," ""AgtD""",PROKKA_00624
PROKKA_00624_sense,"	agtD_1"," ""AgtD""",PROKKA_00624
PROKKA_00624_antis,"	agtD_1"," ""AgtD""",PROKKA_00624
PROKKA_00625_igtop,"	rpe","  ""ribulose-phosphate 3-epimerase""",PROKKA_00625
PROKKA_00625_igbot,"	rpe","  ""ribulose-phosphate 3-epimerase""",PROKKA_00625
PROKKA_00625_sense,"	rpe","  ""ribulose-phosphate 3-epimerase""",PROKKA_00625
PROKKA_00625_antis,"	rpe","  ""ribulose-phosphate 3-epimerase""",PROKKA_00625
PROKKA_00626_igtop,"	n/a","  ""phosphoglycolate phosphatase""",PROKKA_00626
PROKKA_00626_igbot,"	n/a","  ""phosphoglycolate phosphatase""",PROKKA_00626
PROKKA_00626_sense,"	n/a","  ""phosphoglycolate phosphatase""",PROKKA_00626
PROKKA_00626_antis,"	n/a","  ""phosphoglycolate phosphatase""",PROKKA_00626
PROKKA_00627_igtop,"	trpE"," ""anthranilate synthetase component I""",PROKKA_00627
PROKKA_00627_igbot,"	trpE"," ""anthranilate synthetase component I""",PROKKA_00627
PROKKA_00627_sense,"	trpE"," ""anthranilate synthetase component I""",PROKKA_00627
PROKKA_00627_antis,"	trpE"," ""anthranilate synthetase component I""",PROKKA_00627
PROKKA_00628_igtop,"	prtN"," ""transcriptional regulator PrtN""",PROKKA_00628
PROKKA_00628_igbot,"	prtN"," ""transcriptional regulator PrtN""",PROKKA_00628
PROKKA_00628_sense,"	prtN"," ""transcriptional regulator PrtN""",PROKKA_00628
PROKKA_00628_antis,"	prtN"," ""transcriptional regulator PrtN""",PROKKA_00628
PROKKA_00629_igtop,"	prtR_1"," ""transcriptional regulator PrtR""",PROKKA_00629
PROKKA_00629_igbot,"	prtR_1"," ""transcriptional regulator PrtR""",PROKKA_00629
PROKKA_00629_sense,"	prtR_1"," ""transcriptional regulator PrtR""",PROKKA_00629
PROKKA_00629_antis,"	prtR_1"," ""transcriptional regulator PrtR""",PROKKA_00629
PROKKA_00630_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00630
PROKKA_00630_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00630
PROKKA_00630_sense,"	n/a","  ""hypothetical protein""",PROKKA_00630
PROKKA_00630_antis,"	n/a","  ""hypothetical protein""",PROKKA_00630
PROKKA_00631_igtop,"	ptrB_1"," ""repressor PtrB""",PROKKA_00631
PROKKA_00631_igbot,"	ptrB_1"," ""repressor PtrB""",PROKKA_00631
PROKKA_00631_sense,"	ptrB_1"," ""repressor PtrB""",PROKKA_00631
PROKKA_00631_antis,"	ptrB_1"," ""repressor PtrB""",PROKKA_00631
PROKKA_00632_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00632
PROKKA_00632_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00632
PROKKA_00632_sense,"	n/a","  ""hypothetical protein""",PROKKA_00632
PROKKA_00632_antis,"	n/a","  ""hypothetical protein""",PROKKA_00632
PROKKA_00633_igtop,"	n/a","  ""putative holin""",PROKKA_00633
PROKKA_00633_igbot,"	n/a","  ""putative holin""",PROKKA_00633
PROKKA_00633_sense,"	n/a","  ""putative holin""",PROKKA_00633
PROKKA_00633_antis,"	n/a","  ""putative holin""",PROKKA_00633
PROKKA_00634_igtop,"	n/a","  ""phage protein""",PROKKA_00634
PROKKA_00634_igbot,"	n/a","  ""phage protein""",PROKKA_00634
PROKKA_00634_sense,"	n/a","  ""phage protein""",PROKKA_00634
PROKKA_00634_antis,"	n/a","  ""phage protein""",PROKKA_00634
PROKKA_00635_igtop,"	n/a","  ""putative baseplate assembly protein V""",PROKKA_00635
PROKKA_00635_igbot,"	n/a","  ""putative baseplate assembly protein V""",PROKKA_00635
PROKKA_00635_sense,"	n/a","  ""putative baseplate assembly protein V""",PROKKA_00635
PROKKA_00635_antis,"	n/a","  ""putative baseplate assembly protein V""",PROKKA_00635
PROKKA_00636_igtop,"	n/a","  ""putative bacteriophage protein""",PROKKA_00636
PROKKA_00636_igbot,"	n/a","  ""putative bacteriophage protein""",PROKKA_00636
PROKKA_00636_sense,"	n/a","  ""putative bacteriophage protein""",PROKKA_00636
PROKKA_00636_antis,"	n/a","  ""putative bacteriophage protein""",PROKKA_00636
PROKKA_00637_igtop,"	n/a","  ""putative bacteriophage protein""",PROKKA_00637
PROKKA_00637_igbot,"	n/a","  ""putative bacteriophage protein""",PROKKA_00637
PROKKA_00637_sense,"	n/a","  ""putative bacteriophage protein""",PROKKA_00637
PROKKA_00637_antis,"	n/a","  ""putative bacteriophage protein""",PROKKA_00637
PROKKA_00638_igtop,"	n/a","  ""putative bacteriophage protein""",PROKKA_00638
PROKKA_00638_igbot,"	n/a","  ""putative bacteriophage protein""",PROKKA_00638
PROKKA_00638_sense,"	n/a","  ""putative bacteriophage protein""",PROKKA_00638
PROKKA_00638_antis,"	n/a","  ""putative bacteriophage protein""",PROKKA_00638
PROKKA_00639_igtop,"	n/a","  ""putative bacteriophage protein""",PROKKA_00639
PROKKA_00639_igbot,"	n/a","  ""putative bacteriophage protein""",PROKKA_00639
PROKKA_00639_sense,"	n/a","  ""putative bacteriophage protein""",PROKKA_00639
PROKKA_00639_antis,"	n/a","  ""putative bacteriophage protein""",PROKKA_00639
PROKKA_00640_igtop,"	n/a","  ""prophage tail fimber assembly protein""",PROKKA_00640
PROKKA_00640_igbot,"	n/a","  ""prophage tail fimber assembly protein""",PROKKA_00640
PROKKA_00640_sense,"	n/a","  ""prophage tail fimber assembly protein""",PROKKA_00640
PROKKA_00640_antis,"	n/a","  ""prophage tail fimber assembly protein""",PROKKA_00640
PROKKA_00641_igtop,"	n/a","  ""putative bacteriophage protein""",PROKKA_00641
PROKKA_00641_igbot,"	n/a","  ""putative bacteriophage protein""",PROKKA_00641
PROKKA_00641_sense,"	n/a","  ""putative bacteriophage protein""",PROKKA_00641
PROKKA_00641_antis,"	n/a","  ""putative bacteriophage protein""",PROKKA_00641
PROKKA_00642_igtop,"	n/a","  ""putative bacteriophage protein""",PROKKA_00642
PROKKA_00642_igbot,"	n/a","  ""putative bacteriophage protein""",PROKKA_00642
PROKKA_00642_sense,"	n/a","  ""putative bacteriophage protein""",PROKKA_00642
PROKKA_00642_antis,"	n/a","  ""putative bacteriophage protein""",PROKKA_00642
PROKKA_00643_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00643
PROKKA_00643_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00643
PROKKA_00643_sense,"	n/a","  ""hypothetical protein""",PROKKA_00643
PROKKA_00643_antis,"	n/a","  ""hypothetical protein""",PROKKA_00643
